NATURALIST OBSERVATORY: TAXONOMY CENSUS
=======================================

[PRODUCERS FOUND]: 108
SYS             | SIG                  | VIA             | LOCATION
--------------------------------------------------------------------------------
MIGRATION       | ENTRY                | Visitant        | species/libremetaverse/src/DeepSeaCommon.cs:127
MIGRATION       | DENIAL               | Visitant        | species/libremetaverse/src/DeepSeaCommon.cs:139
MIGRATION       | HANDSHAKE            | Visitant        | species/libremetaverse/src/DeepSeaCommon.cs:148
PHYSICS         | INFRASTRUCTURE       | Visitant        | species/libremetaverse/src/DeepSeaCommon.cs:154
SENSORY         | AUDITION             | Visitant        | species/libremetaverse/src/DeepSeaCommon.cs:162
SENSORY         | TREMOR               | Visitant        | species/libremetaverse/src/DeepSeaCommon.cs:169
PHYSICS         | WIRE_FORMAT          | Visitant        | species/libremetaverse/src/DeepSeaCommon.cs:186
SENSORY         | AUDITION             | Visitant        | species/libremetaverse/src/DeepSeaCommon.cs:192
SENSORY         | AUDITION             | Visitant        | species/libremetaverse/src/DeepSeaCommon.cs:203
MOTOR           | VOCALIZATION         | Visitant        | species/libremetaverse/src/DeepSeaCommon.cs:217
SENSORY         | VISION               | Visitant        | species/libremetaverse/src/DeepSeaCommon.cs:233
SENSORY         | VISION               | Visitant        | species/libremetaverse/src/DeepSeaCommon.cs:247
RANGER          | INTERVENTION         | Visitant        | species/libremetaverse/src/DeepSeaCommon.cs:267
DEBUG           | Stdin                | Visitant        | species/libremetaverse/src/DeepSeaCommon.cs:282
DEBUG           | Command              | Visitant        | species/libremetaverse/src/DeepSeaCommon.cs:283
STATE           | STASIS               | Visitant        | species/libremetaverse/src/DeepSeaCommon.cs:312
STATE           | IDENTITY             | Visitant        | species/libremetaverse/src/DeepSeaCommon.cs:322
MOTOR           | VOCALIZATION         | Visitant        | species/libremetaverse/src/DeepSeaCommon.cs:341
SENSORY         | VISION               | Visitant        | species/libremetaverse/src/DeepSeaCommon.cs:399
SENSORY         | VISION               | Visitant        | species/libremetaverse/src/DeepSeaCommon.cs:411
STATE           | PROPRIOCEPTION       | Visitant        | species/libremetaverse/src/DeepSeaCommon.cs:424
SENSORY         | TREMOR               | Visitant        | species/libremetaverse/src/DeepSeaCommon.cs:431
STATE           | INTENT               | Visitant        | species/libremetaverse/src/DeepSeaCommon.cs:435
STATE           | INTENT               | Visitant        | species/libremetaverse/src/DeepSeaCommon.cs:440
SENSORY         | VISION               | Visitant        | species/libremetaverse/src/DeepSeaCommon.cs:448
MOTOR           | LOCOMOTION           | Visitant        | species/libremetaverse/src/DeepSeaCommon.cs:467
MOTOR           | LOCOMOTION           | Visitant        | species/libremetaverse/src/DeepSeaCommon.cs:489
MOTOR           | MANIPULATION         | Visitant        | species/libremetaverse/src/DeepSeaCommon.cs:511
RANGER          | INTERVENTION         | Visitant        | species/libremetaverse/src/DeepSeaCommon.cs:530
MIGRATION       | DEPARTURE            | Visitant        | species/libremetaverse/src/DeepSeaCommon.cs:536
MIGRATION       | DEPARTURE            | Visitant        | species/libremetaverse/src/DeepSeaCommon.cs:542
MIGRATION       | ARRIVAL              | Ranger          | species/opensim-ngc/0.9.3/patches/instrumentation/LLLoginService.patch:9
PHYSICS         | WIRE_FORMAT          | Ranger          | species/opensim-ngc/0.9.3/patches/instrumentation/LLUDPServer-002-ChatDialect.patch:34
TERRITORY       | SIGNAL               | Ranger          | species/opensim-ngc/0.9.3/patches/instrumentation/LLClientView.patch:9
UDP             | PacketReceived       | Ranger          | species/opensim-ngc/0.9.3/patches/instrumentation/LLUDPServer-001-UseCircuitCode.patch:15
PHYSICS         | INFRASTRUCTURE       | Ranger          | species/opensim-ngc/0.9.3/patches/instrumentation/LLUDPServer-001-UseCircuitCode.patch:24
MIGRATION       | ARRIVAL              | Ranger          | species/opensim-core/0.9.3/FIELD_MARKS_legacy.md:71
PHYSICS         | INFRASTRUCTURE       | Ranger          | species/opensim-core/0.9.3/FIELD_MARKS_legacy.md:81
TERRITORY       | SIGNAL               | Ranger          | species/opensim-core/0.9.3/FIELD_MARKS_legacy.md:91
MIGRATION       | ARRIVAL              | Ranger          | species/opensim-core/0.9.3/patches/instrumentation/LLLoginService.patch:9
PHYSICS         | WIRE_FORMAT          | Ranger          | species/opensim-core/0.9.3/patches/instrumentation/LLUDPServer-002-ChatDialect.patch:34
TERRITORY       | SIGNAL               | Ranger          | species/opensim-core/0.9.3/patches/instrumentation/LLClientView.patch:9
UDP             | PacketReceived       | Ranger          | species/opensim-core/0.9.3/patches/instrumentation/LLUDPServer-001-UseCircuitCode.patch:15
PHYSICS         | INFRASTRUCTURE       | Ranger          | species/opensim-core/0.9.3/patches/instrumentation/LLUDPServer-001-UseCircuitCode.patch:24
MIGRATION       | HANDSHAKE            | Visitant        | species/benthic/0.1.0/deepsea_client.rs:90
DEBUG           | Stdin                | Visitant        | species/benthic/0.1.0/deepsea_client.rs:103
MIGRATION       | DENIAL               | Visitant        | species/benthic/0.1.0/deepsea_client.rs:228
RANGER          | INTERVENTION         | Visitant        | species/benthic/0.1.0/deepsea_client.rs:246
STATE           | STASIS               | Visitant        | species/benthic/0.1.0/deepsea_client.rs:254
DEBUG           | Main                 | Visitant        | species/benthic/0.1.0/deepsea_client.rs:266
MIGRATION       | DENIAL               | Visitant        | species/benthic/0.1.0/deepsea_client.rs:281
DEBUG           | Main                 | Visitant        | species/benthic/0.1.0/deepsea_client.rs:286
RANGER          | INTERVENTION         | Visitant        | species/benthic/0.1.0/deepsea_client.rs:315
