NATURALIST OBSERVATORY: TAXONOMY CENSUS
=======================================

[PRODUCERS FOUND]: 106
SYS             | SIG                  | VIA             | LOCATION
--------------------------------------------------------------------------------
Login           | Success              | Visitant        | species/libremetaverse/src/DeepSeaCommon.cs:127
Login           | Fail                 | Visitant        | species/libremetaverse/src/DeepSeaCommon.cs:139
UDP             | Connected            | Visitant        | species/libremetaverse/src/DeepSeaCommon.cs:154
Alert           | Received             | Visitant        | species/libremetaverse/src/DeepSeaCommon.cs:162
Territory       | Impression           | Visitant        | species/libremetaverse/src/DeepSeaCommon.cs:169
Packet          | ChatDialectInbound   | Visitant        | species/libremetaverse/src/DeepSeaCommon.cs:186
Chat            | Heard                | Visitant        | species/libremetaverse/src/DeepSeaCommon.cs:192
IM              | Heard                | Visitant        | species/libremetaverse/src/DeepSeaCommon.cs:203
IM              | Sent                 | Visitant        | species/libremetaverse/src/DeepSeaCommon.cs:217
Sight           | Vanished             | Visitant        | species/libremetaverse/src/DeepSeaCommon.cs:247
System          | Timeout              | Visitant        | species/libremetaverse/src/DeepSeaCommon.cs:267
DEBUG           | Stdin                | Visitant        | species/libremetaverse/src/DeepSeaCommon.cs:282
System          | Command              | Visitant        | species/libremetaverse/src/DeepSeaCommon.cs:283
System          | Sleep                | Visitant        | species/libremetaverse/src/DeepSeaCommon.cs:312
Self            | Identity             | Visitant        | species/libremetaverse/src/DeepSeaCommon.cs:322
IM              | Sent                 | Visitant        | species/libremetaverse/src/DeepSeaCommon.cs:340
Sight           | Avatar               | Visitant        | species/libremetaverse/src/DeepSeaCommon.cs:398
Sight           | Avatar               | Visitant        | species/libremetaverse/src/DeepSeaCommon.cs:410
Navigation      | Location             | Visitant        | species/libremetaverse/src/DeepSeaCommon.cs:423
Chronology      | Time                 | Visitant        | species/libremetaverse/src/DeepSeaCommon.cs:430
Cognition       | Why                  | Visitant        | species/libremetaverse/src/DeepSeaCommon.cs:434
Cognition       | Because              | Visitant        | species/libremetaverse/src/DeepSeaCommon.cs:439
Sight           | Observation          | Visitant        | species/libremetaverse/src/DeepSeaCommon.cs:447
Action          | Move                 | Visitant        | species/libremetaverse/src/DeepSeaCommon.cs:466
Action          | Teleport             | Visitant        | species/libremetaverse/src/DeepSeaCommon.cs:488
Behavior        | Rez                  | Visitant        | species/libremetaverse/src/DeepSeaCommon.cs:510
System          | Reset                | Visitant        | species/libremetaverse/src/DeepSeaCommon.cs:529
Logout          | REPL                 | Visitant        | species/libremetaverse/src/DeepSeaCommon.cs:535
